topic,word,score
1,imas,0.011
1,cash,0.009
1,data,0.008
1,cluster,0.008
1,italy,0.007
1,member,0.007
1,political,0.006
1,report,0.005
1,accounting,0.005
1,mutual,0.005
2,accounting,0.020
2,state,0.020
2,regulation,0.013
2,economic,0.011
2,practice,0.011
2,business,0.009
2,period,0.008
2,colbert,0.008
2,power,0.007
2,innovation,0.006
3,accounting,0.019
3,consolidated,0.010
3,financial,0.010
3,german,0.009
3,company,0.009
3,account,0.007
3,statement,0.006
3,group,0.006
3,contracting,0.005
3,innovation,0.005
4,accounting,0.000
4,state,0.000
4,financial,0.000
4,practice,0.000
4,power,0.000
4,economic,0.000
4,regulation,0.000
4,also,0.000
4,business,0.000
4,tax,0.000
5,accounting,0.015
5,italian,0.015
5,paradigm,0.013
5,scholar,0.011
5,knowledge,0.009
5,research,0.009
5,international,0.008
5,professor,0.008
5,new,0.008
5,power,0.007
